Fish ID	Collection Date	Year	Location	Period	TL (mm)	Otolith D (um)	Peak Number	peak time 	"peak quality (excellent, good, poor, terrible, unusable)"	3core	Mg	Mn	Fe	Cu	Sr	Cd	Ba	Sn	Pb	U
PADE09_038	10/20/09	2009	Roosevelt	Late	14	215	1	0.45	good		0.005671326	0.030827251	0.000000000	0.000137408	2.276903958	0.000001021	0.011259741	0.000384985	0.000000000	0.000000000
PADE09_040	10/20/09	2009	Roosevelt	Late	14	219	2	0.78	good		0.017267998	0.013587755	0.000000000	0.000308413	3.634116170	0.000000000	0.011637960	0.000420961	0.000000196	0.000000000
PADE09_039	10/20/09	2009	Roosevelt	Late	17	243	2	0.63	good		0.009467424	0.038638875	0.003468086	0.000466262	2.378985271	0.000003047	0.005285849	0.000343479	0.000000469	0.000000234
PADE09_043	11/18/09	2009	Roosevelt	Late	13	175	2	0.76	excellent		0.002699922	0.011543918	0.005053531	0.000230279	3.673496588	0.000000064	0.007353433	0.000458550	0.000000000	0.000000403
PADE09_044	11/18/09	2009	Roosevelt	Late	13	134	1	0.70	excellent		0.001209579	0.011137163	0.001167417	0.000252205	3.316818976	0.000000000	0.005680797	0.000449156	0.000000352	0.000000000
PADE09_042	11/18/09	2009	Roosevelt	Late	15	237	2	0.69	excellent		0.002232768	0.011044899	0.005989444	0.000155039	3.280330638	0.000001398	0.008970746	0.000440501	0.000000221	0.000000662
PADE09_048	12/14/09	2009	Roosevelt	Late	14	185	2	0.73	good		0.010392363	0.005447890	0.000000000	0.000227752	3.373061181	0.000001393	0.006703347	0.000638738	0.000000209	0.000000000
PADE09_047	12/14/09	2009	Roosevelt	Late	16	201	1	0.67	excellent		0.003276260	0.009413446	0.000566455	0.000232517	3.494435261	0.000002749	0.011375651	0.000631489	0.000000206	0.000000206
PADE10_013	1/18/10	2010	Roosevelt	Late	16	187	1	0.69	excellent		0.001562107	0.005550762	0.000000000	0.000077841	3.275462906	0.000000440	0.018425291	0.000758923	0.000000377	0.000000000
PADE10_014	1/18/10	2010	Roosevelt	Late	16	212	1	0.77	excellent		0.001553662	0.008618414	0.000751892	0.000184965	3.135085903	0.000001530	0.005591915	0.000343258	0.000000000	0.000000218
PADE10_015	1/18/10	2010	Roosevelt	Late	18	235	1	0.70	good		0.002612890	0.005399736	0.000000000	0.000343773	3.422226120	0.000001816	0.008294491	0.000334992	0.000000000	0.000000217
PADE10_016	2/4/10	2010	Roosevelt	Late	15	199	1	0.73	good		0.002607533	0.007496244	0.004037723	0.000095360	3.246276928	0.000000000	0.007595856	0.000303147	0.000000000	0.000000000
PADE10_017	3/29/10	2010	Roosevelt	Late	16	182	2	0.81	excellent		0.001253403	0.008953103	0.002289929	0.000144801	3.544347919	0.000002313	0.006719103	0.000337622	0.000000000	0.000000000
PADE90_013	4/6/90	1990	RUMFS	Early	11	150	2	0.39	excellent		0.003493094	0.016224279	0.000161254	0.000161089	3.244742120	0.000016529	0.006391188	0.000416790	0.000000000	0.000000000
PADE90_016	4/6/90	1990	RUMFS	Early	13	238	1	0.63	excellent		0.008988240	0.012622315	0.001474997	0.000303518	3.427867547	0.000012373	0.005235580	0.000388445	0.000000000	0.000000000
PADE91_007	11/26/91	1991	RUMFS	Early	15	145	1	0.80	good		0.009918280	0.010599100	0.005310852	0.000461379	3.196145217	0.000020666	0.008804452	0.000389570	0.000000000	0.000000200
PADE92_002	2/6/92	1992	RUMFS	Early	13	178	1	0.52	excellent		0.004959416	0.011271115	0.003716382	0.000179961	3.621508654	0.000001193	0.010433875	0.000333539	0.000000188	0.000000188
PADE92_001	2/6/92	1992	RUMFS	Early	14	151	1	0.72	excellent		0.003534085	0.026830199	0.004306507	0.000161485	3.495350518	0.000000000	0.008206934	0.000367339	0.000000210	0.000000210
PADE92_003	2/6/92	1992	RUMFS	Early	15	170	1	0.65	excellent		0.001442294	0.007225456	0.003331803	0.000230315	3.415560920	0.000002866	0.008486487	0.000349563	0.000000391	0.000000000
PADE92_004	12/28/92	1992	RUMFS	Early	15	194	1	0.67	excellent		0.002728042	0.010172063	0.006016846	0.000143054	3.087256128	0.000002839	0.006747667	0.000351451	0.000000000	0.000000000
PADE98_001	1/21/98	1998	RUMFS	Mid	14	131	1	0.59	excellent		0.000789517	0.007140324	0.000000000	0.000148362	3.393042216	0.000000720	0.007686001	0.000193435	0.000000320	0.000000000
